N,1,0,0,
J,CRISTIANO,0,0,PORTUGAL,DELANTERO,SPORTING DE LISBOA, MANCHESTER UNITED, REAL MADRID,
J,SUAREZ,0,0,URUGUAY,DELANTERO,CLUB NACIONAL,GRONINGEN,AJAX,LIVERPOOL,BARCELONA,
J,AGUERO,0,0,ARGENTINA,DELANTERO,INDEPENDIENTE,ATLETICO DE MADRID,MANCHESTER CITY,
J,N1J4,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J5,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J6,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J7,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J8,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J9,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J10,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J11,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J12,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J13,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J14,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J15,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J16,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J17,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J18,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J19,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J20,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J21,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J22,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J23,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J24,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J25,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J26,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J27,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J28,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J29,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N1J30,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
N,2,0,15,
J,N2J1,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J2,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
J,N2J3,0,0,PERU,ARQUERO,EQUIPO1,EQUIPO2,EQUIPO1,EQUIPO3,
